TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 21:44;;FNIRSI 1013D;
1,48E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,49E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,50E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,51E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,52E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,53E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
1,54E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,55E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,56E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,57E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,58E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,59E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
1,60E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,61E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,62E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,63E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,64E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,65E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,66E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,67E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,68E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,69E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,70E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,71E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,72E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,73E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,74E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,75E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,76E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,77E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,78E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,79E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,80E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,81E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,82E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,83E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,84E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,85E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,86E-3;-3,20E-2;-3,20E-2;;;;;;;;;;;;;;
1,87E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,88E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,89E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,90E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,91E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,92E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,93E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,94E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
1,95E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,96E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,97E-3;-2,40E-2;-2,00E-2;;;;;;;;;;;;;;
1,98E-3;-2,40E-2;-1,80E-2;;;;;;;;;;;;;;
1,99E-3;-2,40E-2;-2,00E-2;;;;;;;;;;;;;;
2,00E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,01E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,02E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,03E-3;-2,00E-2;-1,80E-2;;;;;;;;;;;;;;
2,04E-3;-2,00E-2;-1,80E-2;;;;;;;;;;;;;;
2,05E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,06E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
2,07E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,08E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,09E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,10E-3;-1,80E-2;-1,00E-2;;;;;;;;;;;;;;
2,11E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
2,12E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
2,13E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
2,14E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
2,15E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
2,16E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
2,17E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
2,18E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
2,19E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
2,20E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,21E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,22E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,23E-3;-2,00E-3;-1,40E-2;;;;;;;;;;;;;;
2,24E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
2,25E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,26E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,27E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,28E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
2,29E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,30E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,31E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,32E-3;-1,80E-2;-2,80E-2;;;;;;;;;;;;;;
2,33E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,34E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,35E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,36E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,37E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,38E-3;-1,80E-2;-3,20E-2;;;;;;;;;;;;;;
2,39E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,40E-3;-2,00E-2;-3,60E-2;;;;;;;;;;;;;;
2,41E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,42E-3;-2,40E-2;-3,60E-2;;;;;;;;;;;;;;
2,43E-3;-2,80E-2;-3,60E-2;;;;;;;;;;;;;;
2,44E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,45E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,46E-3;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
2,47E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,48E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,49E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,50E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,51E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,52E-3;-2,40E-2;-2,40E-2;;;;;;;;;;;;;;
2,53E-3;-2,40E-2;-2,40E-2;;;;;;;;;;;;;;
2,54E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,55E-3;-2,40E-2;-2,40E-2;;;;;;;;;;;;;;
2,56E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,57E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,58E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,59E-3;-2,40E-2;-2,40E-2;;;;;;;;;;;;;;
2,60E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,61E-3;-2,40E-2;-2,40E-2;;;;;;;;;;;;;;
2,62E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
2,63E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
2,64E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
2,65E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,66E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
2,67E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,68E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,69E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,70E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,71E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,72E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,73E-3;-2,40E-2;-3,60E-2;;;;;;;;;;;;;;
2,74E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,75E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,76E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,77E-3;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
2,78E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,79E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,80E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,81E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,82E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,83E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,84E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,85E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,86E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
2,87E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,88E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,89E-3;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
2,90E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
2,91E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,92E-3;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
2,93E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,94E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,95E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
2,96E-3;-1,80E-2;-2,80E-2;;;;;;;;;;;;;;
2,97E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,98E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
2,99E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,00E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
3,01E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,02E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
3,03E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,04E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
3,05E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
3,06E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,07E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
3,08E-3;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
3,09E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
3,10E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,11E-3;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
3,12E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,13E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,14E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
3,15E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
3,16E-3;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
3,17E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
3,18E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
3,19E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,20E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,21E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
3,22E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,23E-3;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
3,24E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,25E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,26E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,27E-3;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
3,28E-3;-2,00E-2;-2,40E-2;;;;;;;;;;;;;;
3,29E-3;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
3,30E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,31E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,32E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,33E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,34E-3;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
3,35E-3;-2,00E-2;-1,80E-2;;;;;;;;;;;;;;
3,36E-3;-1,80E-2;-1,00E-2;;;;;;;;;;;;;;
3,37E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,38E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,39E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,40E-3;-1,80E-2;-1,00E-2;;;;;;;;;;;;;;
3,41E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,42E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
3,43E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,44E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,45E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
3,46E-3;-1,80E-2;-1,40E-2;;;;;;;;;;;;;;
3,47E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
3,48E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,49E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
3,50E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,51E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
3,52E-3;-1,40E-2;-1,00E-2;;;;;;;;;;;;;;
